state,end,value,type
Alabama,2000-01-08,16782,h
Alabama,2000-01-15,10138,h
Alabama,2000-01-22,4761,h
Alabama,2000-01-29,5868,h
Alabama,2000-02-05,5768,h
Alabama,2000-02-12,4598,h
Alabama,2000-02-19,4441,h
Alabama,2000-02-26,4197,h
Alabama,2000-03-04,3585,h
Alabama,2000-03-11,3788,h
Alabama,2000-03-18,3810,h
Alabama,2000-03-25,3652,h
Alabama,2000-04-01,6473,h
Alabama,2000-04-08,3927,h
Alabama,2000-04-15,4054,h
Alabama,2000-04-22,3384,h
Alabama,2000-04-29,4550,h
Alabama,2000-05-06,3654,h
Alabama,2000-05-13,4251,h
Alabama,2000-05-20,4895,h
Alabama,2000-05-27,4838,h
Alabama,2000-06-03,3989,h
Alabama,2000-06-10,4469,h
Alabama,2000-06-17,4477,h
Alabama,2000-06-24,3866,h
Alabama,2000-07-01,4702,h
Alabama,2000-07-08,12321,h
Alabama,2000-07-15,8843,h
Alabama,2000-07-22,6841,h
Alabama,2000-07-29,6072,h
Alabama,2000-08-05,4775,h
Alabama,2000-08-12,4889,h
Alabama,2000-08-19,4979,h
Alabama,2000-08-26,4590,h
Alabama,2000-09-02,4976,h
Alabama,2000-09-09,5119,h
Alabama,2000-09-16,4294,h
Alabama,2000-09-23,4683,h
Alabama,2000-09-30,6052,h
Alabama,2000-10-07,5363,h
Alabama,2000-10-14,5654,h
Alabama,2000-10-21,5205,h
Alabama,2000-10-28,5926,h
Alabama,2000-11-04,4823,h
Alabama,2000-11-11,8487,h
Alabama,2000-11-18,4284,h
Alabama,2000-11-25,8903,h
Alabama,2000-12-02,7418,h
Alabama,2000-12-09,5477,h
Alabama,2000-12-16,6788,h
Alabama,2000-12-23,9483,h
Alabama,2000-12-30,13752,h
Alabama,2001-01-06,17570,h
Alabama,2001-01-13,15076,h
Alabama,2001-01-20,8331,h
Alabama,2001-01-27,8056,h
Alabama,2001-02-03,6895,h
Alabama,2001-02-10,5217,h
Alabama,2001-02-17,7079,h
Alabama,2001-02-24,5787,h
Alabama,2001-03-03,7928,h
Alabama,2001-03-10,5426,h
Alabama,2001-03-17,4626,h
Alabama,2001-03-24,5367,h
Alabama,2001-03-31,10372,h
Alabama,2001-04-07,5378,h
Alabama,2001-04-14,4613,h
Alabama,2001-04-21,7207,h
Alabama,2001-04-28,6024,h
Alabama,2001-05-05,5626,h
Alabama,2001-05-12,5096,h
Alabama,2001-05-19,5703,h
Alabama,2001-05-26,6851,h
Alabama,2001-06-02,7438,h
Alabama,2001-06-09,7925,h
Alabama,2001-06-16,6391,h
Alabama,2001-06-23,5503,h
Alabama,2001-06-30,5141,h
Alabama,2001-07-07,16652,h
Alabama,2001-07-14,9058,h
Alabama,2001-07-21,7107,h
Alabama,2001-07-28,5751,h
Alabama,2001-08-04,4698,h
Alabama,2001-08-11,5679,h
Alabama,2001-08-18,5522,h
Alabama,2001-08-25,4320,h
Alabama,2001-09-01,4944,h
Alabama,2001-09-08,7328,h
Alabama,2001-09-15,5766,h
Alabama,2001-09-22,5257,h
Alabama,2001-09-29,6729,h
Alabama,2001-10-06,7139,h
Alabama,2001-10-13,5800,h
Alabama,2001-10-20,6529,h
Alabama,2001-10-27,8538,h
Alabama,2001-11-03,6021,h
Alabama,2001-11-10,8235,h
Alabama,2001-11-17,4181,h
Alabama,2001-11-24,11597,h
Alabama,2001-12-01,8136,h
Alabama,2001-12-08,6493,h
